step_start,step_end,tokens_b,loss_mean,loss_p10,loss_p90
12201,12300,12.795402,2.515728,2.467603,2.567214
12301,12400,12.899850,2.502470,2.455706,2.551987
12401,12500,13.004298,2.487288,2.444012,2.530828
12501,12600,13.108746,2.518683,2.470303,2.573148
12601,12700,13.213194,2.511130,2.467279,2.557012
12701,12800,13.317642,2.485467,2.441775,2.536444
12801,12900,13.422090,2.429942,2.369931,2.491109
12901,13000,13.526538,2.461929,2.413453,2.519745
13001,13100,13.630986,2.461606,2.408638,2.513737
13101,13200,13.735434,2.500670,2.449745,2.556056
13201,13300,13.839882,2.474284,2.407727,2.529354
13301,13400,13.944330,2.471342,2.417676,2.519018
13401,13500,14.048778,2.472246,2.420100,2.526873
13501,13600,14.153226,2.469846,2.426224,2.522631
13601,13700,14.257674,2.472237,2.429064,2.513624
13701,13800,14.362122,2.458146,2.404188,2.505459
13801,13900,14.466570,2.458184,2.407517,2.496834
13901,14000,14.571018,2.466038,2.415911,2.521772
14001,14100,14.675466,2.473814,2.428314,2.511833
14101,14200,14.779914,2.487952,2.442554,2.538008
14201,14300,14.884362,2.472981,2.422080,2.516236
14301,14400,14.988810,2.472031,2.415725,2.521501
14401,14500,15.093258,2.438530,2.396089,2.493273
14501,14600,15.197706,2.463494,2.421733,2.508290
14601,14700,15.302154,2.466824,2.422835,2.510929
14701,14800,15.406602,2.427834,2.380999,2.467928
14801,14900,15.511050,2.460678,2.410482,2.501410
14901,15000,15.615498,2.455237,2.407966,2.501978
15001,15100,15.719946,2.444009,2.387971,2.491353
15101,15200,15.824394,2.438096,2.394854,2.484159
15201,15300,15.928842,2.448235,2.398792,2.495729
15301,15400,16.033290,2.460928,2.411880,2.518126
15401,15500,16.137738,2.459802,2.413880,2.511612
15501,15600,16.242186,2.469144,2.427441,2.517262
15601,15700,16.346634,2.446980,2.403260,2.485502
15701,15800,16.451082,2.464244,2.413139,2.521254
15801,15900,16.555530,2.428031,2.380067,2.472243
15901,16000,16.659978,2.436066,2.392111,2.479768
16001,16100,16.764426,2.444245,2.408552,2.480434
16101,16200,16.868874,2.433709,2.386643,2.477876
16201,16300,16.973322,2.410921,2.357305,2.465451
16301,16400,17.077770,2.435393,2.383672,2.479049
16401,16500,17.182218,2.426952,2.379722,2.480671
16501,16600,17.286666,2.412973,2.363363,2.459387
16601,16700,17.391114,2.424768,2.379005,2.465636
16701,16800,17.495562,2.441909,2.388926,2.476104
16801,16900,17.600010,2.438004,2.380765,2.490008
16901,17000,17.704458,2.398148,2.339004,2.452797
17001,17100,17.808906,2.456098,2.413115,2.502226
17101,17200,17.913354,2.431702,2.381799,2.479549
17201,17300,18.017802,2.432478,2.373966,2.484717
17301,17400,18.122250,2.398352,2.352383,2.449815
17401,17500,18.226698,2.431893,2.383686,2.474296
17501,17600,18.331146,2.382509,2.336815,2.432748
17601,17700,18.435594,2.408812,2.350506,2.480696
17701,17800,18.540042,2.414301,2.364138,2.475296
17801,17900,18.644490,2.431485,2.381273,2.474102
17901,18000,18.748938,2.459478,2.413937,2.502944
18001,18100,18.853386,2.425897,2.382572,2.483204
18101,18200,18.957834,2.414789,2.356748,2.471658
18201,18300,19.062282,2.429408,2.381545,2.472694
18301,18400,19.166730,2.405931,2.363739,2.442674
18401,18500,19.271178,2.418405,2.371365,2.466957
18501,18600,19.375626,2.412584,2.374199,2.465846
18601,18700,19.480074,2.434042,2.387178,2.479549
18701,18800,19.584522,2.430578,2.390770,2.468604
18801,18900,19.688970,2.439773,2.391494,2.484675
18901,19000,19.793418,2.421236,2.377632,2.461270
19001,19100,19.897866,2.435670,2.390473,2.484075
19101,19148,19.975158,2.456004,2.400202,2.498601
