tokens_b,predicted_loss
11.4893,2.519792
11.8439,2.513880
12.1985,2.508185
12.5531,2.502695
12.9077,2.497396
13.2623,2.492277
13.6169,2.487328
13.9715,2.482537
14.3261,2.477897
14.6807,2.473399
15.0353,2.469035
15.3899,2.464799
15.7445,2.460683
16.0991,2.456682
16.4537,2.452791
16.8083,2.449003
17.1629,2.445315
17.5175,2.441721
17.8721,2.438217
18.2267,2.434800
18.5813,2.431465
18.9359,2.428209
19.2905,2.425028
19.6451,2.421921
19.9997,2.418883
