index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 4090, 24564 MiB, GPU-77d428c5-9c07-6b42-033e-f8f70817b7f8
1, NVIDIA GeForce RTX 4090, 24564 MiB, GPU-ae1b5f9e-367f-072e-96e3-2fe27988487f
