index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-331022d2-1189-487c-cdb5-2a2590f36eab
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-094d407e-d708-b790-4ae5-4ff1b30b8a23
2, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-19bd788e-b80c-8a18-1c35-62c5cccd76ae
3, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-7b1e60ef-57df-75ed-362a-a41af286b12c
