index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 4090, 24564 MiB, GPU-f28d62fe-4bba-ea40-fbbe-62cdcc23ab13
1, NVIDIA GeForce RTX 4090, 24564 MiB, GPU-21e446fb-3e9c-947c-3938-b3a68cd8b1f9
