index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-9f236f7c-a8d4-e2fe-051e-336f94a471d4
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-42f3ea23-0088-d24b-dd3a-81827a193501
2, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-2f8ee1f6-94f9-c355-ca4e-a09b78437e8f
