index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 4090, 24564 MiB, GPU-dc0d7184-614e-19c2-b1f8-a5022b73ed8d
1, NVIDIA GeForce RTX 4090, 24564 MiB, GPU-ecc5cb07-4e80-4117-eed7-17fb1643893f
