index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-fff52311-b78d-13a6-6555-e03ecb9c8933
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-94566b41-d19a-e8a0-7ee0-4d5f00429c27
2, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-66238641-39c2-5b9b-18fe-f5bfe53dd5b7
3, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-28d20aaf-14b5-44d0-6c43-f3216fbe2fb1
