index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 4090, 24564 MiB, GPU-9600ed38-0c1f-cee5-0069-35de1bc11e99
1, NVIDIA GeForce RTX 4090, 24564 MiB, GPU-e4369f10-a466-a4c5-1b02-9f8e75f59672
