index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-0219e061-7822-7c85-d558-e0de67a13afe
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-4032c442-acca-95c4-0705-82255b8b0274
