index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-50412604-7d49-cc21-e18a-c81cb945a202
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-d22df472-5031-4485-05ca-b3b6da5cbd4c
2, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-f402df43-d278-6368-7cbb-79c2a7313394
3, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-c04158e0-17c9-8e19-192d-720323f54dc7
