index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-d1f0bda6-1502-04df-c17f-0a2e7a767e6f
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-1b487538-ef51-d27a-0a77-744faa5d19ac
2, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-fdbb11a3-d985-6d91-629c-fd4408421028
3, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-8974d263-a50e-fb33-f2cd-50dd33700d06
