index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 4090, 24564 MiB, GPU-24008eaf-d285-f5f7-e648-1fad67fa2808
1, NVIDIA GeForce RTX 4090, 24564 MiB, GPU-7f8219b0-1331-f6ef-2105-e0786dbad6b8
