index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-dee09c29-f33d-3d57-f1c9-36480d529a9b
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-65a54321-f3e0-4def-c02f-74bcb48dcae7
