index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-488cd833-3daf-9ae7-cdff-d8ffca597456
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-08010139-a2ac-d781-c3c6-662a39cb2eef
